Qunatidade Participantes;ID_PESQUISA;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_islolation;Dem_isolation_adults;Dem_isolation_kids;Comentarios
1;299;691;27/05/2020 22:59;SME;32;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;yes;São Paulo;Single;0;Yes;Isolated;1;0;NA
2;678;879;27/05/2020 10:56;PT-BR;54;Female;Some College, short continuing education or equivalent;Up to 12 years of school;Not employed;Brazil;no;Paraíba;Divorced/widowed;2;Yes;Isolated;1;0;NA
3;680;514;26/05/2020 10:45;PT-BR;29;Male;PhD/Doctorate;Up to 6 years of school;Full time employed;Brazil;no;MINAS GERAIS;Married/cohabiting;1;Yes;Life carries on with minor changes;2;1;NA
4;1573;1412;21/05/2020 17:41;PT-BR;63;Female;College degree, bachelor, master;Up to 12 years of school;Self-employed;Brazil;no;DF/ Brasilia;Single;0;Yes;Isolated;2;0;NA
5;2552;1032;16/05/2020 16:37;PT-BR;25;Male;College degree, bachelor, master;Some College or equivalent;Student;Brazil;no;Pará;Single;0;Yes;Isolated;1;0;Tenho a sensação de que o mundo tem acreditado menos na ciência e isso me preocupa, pois tornará mais difícil resolver problemas e diminui a importância do meu ofício, a psicologia.
6;3084;2566;14/05/2020 05:50;PT-BR;72;Female;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;no;Rio de Janeiro;Divorced/widowed;0;No;Life carries on with minor changes;0;0;Ausência de sol. Observar que algumas pessoas não estão levando a sério a pandemia. Vejo da janela pessoas sem máscaras. Optei por receber compras on line na portaria do edifício. Entregadores sem máscara, podetiam usar elevadires e contaminar muitos. Eu desço de máscara e com calçado que uso para alguma grabde necessidade de sair. No retorno uso água sanitária no calçado. Pego com luva e coloco em local apropriado com mais água sanitária.  Em casa uso outro calçado. É uma logística preparar tudo isso  mas faz parte da proteção.
7;3085;679;14/05/2020 05:11;PT-BR;46;Female;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de Janeiro;Divorced/widowed;0;Yes;Life carries on with minor changes;0;0;NA
8;3097;273;15/05/2020 02:54;PT-BR;58;Female;College degree, bachelor, master;Up to 9 years of school;Full time employed;Brazil;no;Rj;Single;0;Yes;Life carries on with minor changes;2;0;NA
9;3109;577;14/05/2020 02:07;PT-BR;38;NA;College degree, bachelor, master;College degree;Retired;Brazil;NA;Rio de janeiro;Married/cohabiting;0;Yes;Life carries on with minor changes;1;0;NA
10;3113;1879;14/05/2020 01:57;PT-BR;40;Female;College degree, bachelor, master;Up to 9 years of school;Full time employed;Brazil;yes;Rio de Janeiro;Married/cohabiting;2;Yes;Life carries on with minor changes;3;0;Sou a responsável financeira da minha casa, eu ando com dificuldades para dormir, muita tensão emocional dores por todo o corpo, dor de cabeça, meu pescoço travou. Sintomas de ansiedade e sem expectativa de melhoras em relação ao governo, principalmente do Federal
